edit_history_tweet_ids,geo,created_at,text,neg,neu,pos,compound,overall_sentiment
['1594042809786322944'],,2022-11-19T18:59:56.000Z,"RT @f4izalhassan: Pengerusi BN merangkap Presiden UMNO Ahmad Zahid Hamidi menang tipis dengan majoriti 348 undi di Bagan Datuk.

#PRU15 #GEâ€¦",0,0.844,0.156,0.5719,positive
['1594042806733254656'],,2022-11-19T18:59:55.000Z,"I must say, hebat juga Shamsul ketot ni, sikit lagi nak tersungkur Wak Zahid #GE15 #PRU15 #MalaysiaMemilih",0,0.769,0.231,0.6613,positive
['1594042806334418944'],,2022-11-19T18:59:55.000Z,"RT @ZilalZainal: ""Wa dah kat Borneo ni bro!"" #PRU15 #ge15 #ph #pn #bn #gps #grs https://t.co/EjTM5s4szn",0,1,0,0,neutral
['1594042804472537088'],,2022-11-19T18:59:55.000Z,"RT @501Awani: RASMI: Parlimen P074 Lumut
PN menang dengan majoriti 363 undi

#MalaysiaMemilih
#PRU15
#PilihanMalaysia

https://t.co/wEZKQ20â€¦",0,0.723,0.277,0.7579,positive
['1594042803256164353'],,2022-11-19T18:59:54.000Z,"RT @501Awani: PH takes a narrow lead but far short of a simple majority needed to form the government.

#AWANInews #PRU15 #MalaysiaMemilihâ€¦",0,1,0,0,neutral
['1594042790434181120'],,2022-11-19T18:59:51.000Z,"RT @BearSado: Hung parliaments are not necessarily a bad thing, many govs of developed nations operate without a clear majority, and they fâ€¦",0.084,0.807,0.109,0.1695,positive
['1594042780883783680'],,2022-11-19T18:59:49.000Z,"Seperti dijangka.

HUNG PARLIAMENT 
PARLIMEN TERGANTUNG

Kita tunggu sidang media semua gabungan parti InsyaAllah..

#PRU15",0,0.779,0.221,0.6597,positive
['1594042780799578112'],,2022-11-19T18:59:49.000Z,"OFFICIAL â€“ PH's Amirudin Shari has won the Gombak seat.

#fmtnews #freemalaysiatoday #malaysia #elections #GE15 #PRU15 #politikmalaysia #politics #malaysians #explore #explorepage#amirudinshari https://t.co/zgF9C1h8If",0,0.73,0.27,0.5719,positive
['1594042779394805760'],{'place_id': '72d5ecacd2d3a055'},2022-11-19T18:59:49.000Z,"Cuba sehabis baik sampai titisan terakhir.
Tanpa gentar.
Tanpa lelah.

Semoga berjaya saudara @anwaribrahim #DemiMalaysia #AyuhKita #KitaBoleh #PRU15 #GE15 https://t.co/H3aJrZJtxn",0.07,0.498,0.433,0.873,positive
['1594042777360166912'],,2022-11-19T18:59:48.000Z,"KEPUTUSAN RASMI

#PRU15 (Parlimen): Datuk Seri Amirudin Shari (PH) menang kerusi P098 Gombak (Majoriti: 12,729 undi) https://t.co/UaQi7sUobz",0,0.821,0.179,0.5719,positive
['1594042776081281025'],,2022-11-19T18:59:48.000Z,"RT @hmetromy: #BukitMertajam #PRU15 Ketua Pemuda Pas Pulau Pinang, Muhammad Fawwaz Mohamad Jan mencipta sejarah tersendiri apabila memenangâ€¦",0,0.905,0.095,0.25,positive
['1594042771211714560'],,2022-11-19T18:59:47.000Z,"RT @501Awani: RASMI: Parlimen P010 Kuala Kedah
PN menang dengan majoriti 28,061 undi

#MalaysiaMemilih
#PRU15
#PilihanMalaysia

https://t.câ€¦",0,0.745,0.255,0.7579,positive
['1594042770813235201'],,2022-11-19T18:59:47.000Z,"[KEPUTUSAN RASMI #PRU15] 
 
P.053 BALIK PULAU

Muhammad Bakhtiar Bin WanChik (PH) menang dengan majoriti 1,582 undi. 

#MandatRakyatÂ #myundi

Kemas kini keputusan: https://t.co/5CuKquJTIF",0,0.861,0.139,0.5719,positive
['1594042766593773569'],,2022-11-19T18:59:46.000Z,#GE15 https://t.co/OxgfKaeLNL,0,1,0,0,neutral
['1594042758133878785'],,2022-11-19T18:59:44.000Z,"Wait why havenâ€™t they told anything about my man prabakaran- AWANI DO SOMETHING- 
#GE15 #PRU15",0,1,0,0,neutral
['1594042749401300993'],,2022-11-19T18:59:41.000Z,"RT @TMReserve: #GE15 (Official) #P048 BUKIT BENDERA | Pulau Pinang

SYERLEENA ABDUL RASHID (PH): 49,353
HNG CHEE WEY (PN): 6,743
RICHIE HUAâ€¦",0,1,0,0,neutral
['1594042747631308800'],,2022-11-19T18:59:41.000Z,RT @BernamaTV: 2.10 pagi: Petugas WTCKL sedang mengemas Dewan Tun Hussein Onn yang merupakan kubu Barisan Nasional (BN) yang sepatutnya menâ€¦,0,1,0,0,neutral
['1594042747576459265'],,2022-11-19T18:59:41.000Z,"@anwaribrahim Please give us good news sir ..
We need focus more into Malaysia economy, education &amp; climate change issues ..
Pls formed great government with caliber leaders #GE15",0,0.702,0.298,0.8625,positive
['1594042747119624192'],,2022-11-19T18:59:41.000Z,"RT @malaymail: ðŸ”— For GE15 live updates visit link in bio
#Malaysia #News #GE15 #PRU15 #Elections https://t.co/it5FLpo8zV",0,1,0,0,neutral
['1594042746238832640'],,2022-11-19T18:59:41.000Z,"[KEPUTUSAN RASMI #PRU15] 
 
P.053 BALIK PULAU

Muhammad Bakhtiar Bin WanChik (PH) menang dengan majoriti 1,582 undi. 

#MandatRakyatÂ #myundi

Kemas kini keputusan: https://t.co/5nS5quchjV",0,0.861,0.139,0.5719,positive
['1594042744577863681'],,2022-11-19T18:59:40.000Z,"Is it true? Are we seeing PH-BN? 
#PRU15 #GE15",0,0.717,0.283,0.4871,positive
['1594042743458000897'],,2022-11-19T18:59:40.000Z,"RT @aryyaff: YB NURUL IZZAH, YB MASZLEE MALIK AND YB SAIFUDDIN NASUTION. I WILL WAIT FOR YOUR COMEBACK FOR THIS NATION! ðŸ¥ºðŸ¥ºðŸ¥ºðŸ¥º
#AyuhMalaysiaâ€¦",0,1,0,0,neutral
['1594042735794982912'],,2022-11-19T18:59:38.000Z,"#PRU15: Panggilan 'Abah' Dilaung Penyokong Selepas Muhyiddin Diisytihar Menang #GempakNews

https://t.co/Ivt7CHb0GX",0,0.636,0.364,0.743,positive
['1594042718526717953'],,2022-11-19T18:59:34.000Z,"RT @BernamaTV: (RASMI) 

Pengerusi Majlis Penasihat PKR Dr Wan Azizah menang di Bandar Tun Razak

#PRU15 #AndaPenentu https://t.co/JCUimKfhâ€¦",0,0.821,0.179,0.5719,positive
['1594042717633679361'],,2022-11-19T18:59:34.000Z,"RT @diviyaragupathy: Stop blaming the 1st time young voters, not all were uneducated on politics in this country. Yes, many were influencedâ€¦",0.199,0.701,0.1,-0.4019,negative
['1594042712122363904'],,2022-11-19T18:59:33.000Z,"RT @hmetromy: #PRU15 #tapah Timbalan Presiden MIC, Datuk Seri M Saravanan berjaya mengekalkan kerusi Parlimen Tapah yang disandang selepasâ€¦",0,1,0,0,neutral
['1594042704140283904'],,2022-11-19T18:59:31.000Z,"#GE15 is the worst era for BN

#zahidhamidiletakjawatan",0.369,0.631,0,-0.6249,negative
['1594042682728337408'],,2022-11-19T18:59:26.000Z,"RT @501Awani: RASMI: Parlimen P089 Bentong
PH menang dengan majoriti 692 undi

#MalaysiaMemilih
#PRU15
#PilihanMalaysia

https://t.co/wEZKQâ€¦",0,0.723,0.277,0.7579,positive
['1594042676592070656'],,2022-11-19T18:59:24.000Z,"Anwar wins in Tambun, KJ loses in Sungai Buloh

https://t.co/1dfKNfDHiP

#GE15 #PRU15 #TMRNews #TMRPhoto",0.128,0.667,0.206,0.34,positive
['1594042675077910530'],,2022-11-19T18:59:24.000Z,"Sia* je semua ni. 
#GE15",0,1,0,0,neutral
['1594042667289444352'],,2022-11-19T18:59:22.000Z,"RT @IniAlalalannn: Ampang voters masa #PRU15 be likeâ€¦

â€œZuraida?? Bye bye!!â€

 https://t.co/LP889xVKPQ",0,1,0,0,neutral
['1594042666479915008'],,2022-11-19T18:59:22.000Z,"RT @aaron16denison: #PRU15 is also a blessing in disguise because we have young people such as Adam Adli, Howard Lee, Kak Fad, Rara, Syahreâ€¦",0.071,0.747,0.181,0.4767,positive
['1594042663619399680'],,2022-11-19T18:59:21.000Z,"RT @bharianmy: #PRU15: 2.50 pagi (RASMI) - Calon PH, Steven Sim Chee Keong, menang di Parlimen Bukit Mertajam (P45), Pulau Pinang dengan maâ€¦",0,0.848,0.152,0.5267,positive
['1594042660582748160'],,2022-11-19T18:59:20.000Z,"Monday no PH and Awang Hadi is new PM.

#BNsyokSendiri
#GE15 #PRU15 #PerikatanNasional 
#PakatanHarapan https://t.co/sOhj6e37JP",0.173,0.827,0,-0.4466,negative
['1594042654769438721'],,2022-11-19T18:59:19.000Z,let me fly first im so tired waiting the result papepon hidup abah! #PRU15 #PerikatanNasional https://t.co/1Q0F5seqy8,0.205,0.662,0.132,-0.3471,negative
['1594042652160593920'],,2022-11-19T18:59:18.000Z,"(Unofficial)
BN-32
PH-78
PN-70
GPS-22
GRS-6

#PRU15 #PRU15KitaJagaKita",0,1,0,0,neutral
['1594042639208574976'],,2022-11-19T18:59:15.000Z,"RT @BuletinTV3: [KEPUTUSAN RASMI #PRU15] 
 
P.109 KAPAR

Dr. Halimah Ali (PN) menang dengan majoriti 11,782 undi. 

#MandatRakyatÂ #myundiâ€¦",0,0.821,0.179,0.5719,positive
['1594042637853814784'],,2022-11-19T18:59:15.000Z,"RT @snowlene: We need Nurul Izzah. Malaysia needs someone like her.

Anyone that knows what she has been fighting for, what she has been deâ€¦",0.089,0.821,0.089,0,neutral
['1594042637157158912'],,2022-11-19T18:59:15.000Z,"RT @malaysiakini: https://t.co/Kop64XFpPM

OFFICIAL 

Pakatan Harapan's Rodziah Ismail has won the Ampang parliamentary seat. #GE15 https:/â€¦",0,0.791,0.209,0.5719,positive
['1594042620346478592'],,2022-11-19T18:59:11.000Z,"Latest GE15 results from SPR as of 2:58am (seats, top 3):
PH: 68
PN: 50
BN: 29

#MalaysiaMemilih #PRU15 #GE15

(do note that this is updated manually)",0,0.935,0.065,0.2023,positive
['1594042608111996929'],,2022-11-19T18:59:08.000Z,"malaysians rn :
#GE15 https://t.co/aGdRms2cWd",0,1,0,0,neutral
['1594042601618882561'],,2022-11-19T18:59:06.000Z,"RT @TrySutrisnoCNA: MCA spokesperson, Chan Quin Er &amp; MCA Youth vice-chair Chua Hock Kuan leaving the tower

In response to @MelGohCNA's qnsâ€¦",0,1,0,0,neutral
['1594042594752962567'],,2022-11-19T18:59:05.000Z,"RT @501Awani: RASMI: Parlimen P186 Sandakan
PH menang dengan majoriti 11,031 undi

#MalaysiaMemilih
#PRU15
#PilihanMalaysia

https://t.co/wâ€¦",0,0.723,0.277,0.7579,positive
['1594050374033641474'],,2022-11-19T19:29:59.000Z,Just nak tahu hari isnin ni bank bukak ke takk? #PRU15,0,0.874,0.126,0.0772,positive
['1594050373559648256'],,2022-11-19T19:29:59.000Z,"No matter what party wins, I simply hope for them to focus creating a better Malaysia for the people #PRU15",0.036,0.475,0.489,0.9235,positive
['1594050370728120320'],,2022-11-19T19:29:59.000Z,"RT @f4izalhassan: ""Saya tidak akan bekerjasama dengan PH. PN akan bincang dengan parti dari Sabah, Sarawak dalam masa terdekat untuk bentukâ€¦",0,0.895,0.105,0.4019,positive
['1594050364898439168'],,2022-11-19T19:29:57.000Z,"Aku still rasa sus dgn result Permatang Pauh. How PH boleh kalah kat situ sedangkan menang kawasan Balik Pulau, Nibong Tebal. #PRU15",0.094,0.699,0.206,0.4939,positive
['1594050359932366850'],,2022-11-19T19:29:56.000Z,RT @501Awani: [LANGSUNG] Ikuti sidang media Pengerusi Pakatan Harapan Datuk Seri @anwaribrahim berhubung pasca keputusan Pilihan Raya Umumâ€¦,0,1,0,0,neutral
['1594050358887997440'],,2022-11-19T19:29:56.000Z,"RT @bharianmy: #BHNasional #PRU15 PN menang tujuh kerusi, BN lima dan PH dua kerusi
 https://t.co/5FM9uRZBwd",0,0.787,0.213,0.5859,positive
['1594050357206081536'],,2022-11-19T19:29:55.000Z,"RT @501Awani: RASMI: Parlimen P069, Parit
PN menang dengan majoriti 2,155 undi

#MalaysiaMemilih
#PRU15
#PilihanMalaysia

https://t.co/wEZKâ€¦",0,0.723,0.277,0.7579,positive
['1594050355817742337'],,2022-11-19T19:29:55.000Z,"RT @khairul_hafidz: Ini bermakna, antara kemungkinan gabungan kerajaan campuran adalah:

1. PN - BN - GPS/GRS

2. PH - BN - GPS/GRS

#PRU15",0,1,0,0,neutral
['1594050350209650689'],,2022-11-19T19:29:54.000Z,"#BHNasional PN menang tujuh kerusi, BN lima dan PH dua kerusi. #PRU15

https://t.co/xdnaEgfugn",0,0.748,0.252,0.5719,positive
['1594050347516907520'],,2022-11-19T19:29:53.000Z,"RT @501Awani: Pakatan Harapan terus mengekalkan penguasaannya di negeri Johor apabila menawan 15 daripada 26 kerusi Parlimen pada PRU15.
AWâ€¦",0,0.938,0.062,0.2023,positive
['1594050344232792064'],,2022-11-19T19:29:52.000Z,"#PRU15 izzah, maszlee, KJ kalah. Adam adli mng. Azmin ali, zuraida bye2. Hamzah mng (KDN maintain?)",0,1,0,0,neutral
['1594050341875912704'],,2022-11-19T19:29:52.000Z,"RT @khairul_hafidz: Saya fikir PH dan PN sudah mula memberikan tawaran kepada blok Borneo. 

Adakah kita jangka Timbalan Perdana Menteri daâ€¦",0.116,0.884,0,-0.4404,negative
['1594050325542862848'],,2022-11-19T19:29:48.000Z,"RT @malaysiakini: #GE15 | UNOFFICIAL RESULTS

https://t.co/Kop64XES0e https://t.co/eaM7lfuPlA",0,1,0,0,neutral
['1594050325077708800'],,2022-11-19T19:29:48.000Z,RT @Dragonlks: this country is a joke istg  #PRU15 https://t.co/qzOaE0XgZP,0,0.804,0.196,0.296,positive
['1594050323303510017'],,2022-11-19T19:29:47.000Z,I hope PH will win #GE15,0,0.374,0.626,0.7717,positive
['1594050317033025536'],,2022-11-19T19:29:46.000Z,RT @kaileshwara: Malaysia is fucked #PRU15,0.468,0.532,0,-0.6597,negative
['1594050315682451457'],,2022-11-19T19:29:45.000Z,"Najib âŒ
Bossku âœ…
#PRU15",0,1,0,0,neutral
['1594050314180567041'],,2022-11-19T19:29:45.000Z,"Ada penyokong Anuar tidak menyokong Pakatan tp kerana anuar didlm Pakatan maka Kene sokong Pakatan.

Penyokong DSAI  teringin nak lihat Anuar sebagai PM-10 kerana mereka yakin anuar mampu BUAT perubahan didalam negara terutama issue spt perbandingan kaum.

#PRU15 
#dsaiPM10",0.042,0.719,0.24,0.8671,positive
['1594050309172924417'],,2022-11-19T19:29:44.000Z,"sidang media PH rn 
#GE15",0,1,0,0,neutral
['1594050301920968705'],,2022-11-19T19:29:42.000Z,"PRU14 overestimate Twitter
PRU15 underestimate TikTok

Malaysian politics is definitely, something else #PRU15 #GE15",0.13,0.71,0.16,0.128,positive
['1594050298858700800'],,2022-11-19T19:29:41.000Z,"NO WORDS
#PRU15 
#GE15",0.423,0.577,0,-0.296,negative
['1594050296790990849'],,2022-11-19T19:29:41.000Z,Sakit kepala dgn #PRU15. Bring on the World Cup. https://t.co/eBAXejpzJD,0,1,0,0,neutral
['1594050290839277571'],,2022-11-19T19:29:40.000Z,"RT @aisu_dan: Macam mana 16,353 boleh jadi 16,578. Something fishy there.

@sprgovmy please take note and action. 

Semoga Allah tunjukkanâ€¦",0,0.887,0.113,0.3182,positive
['1594050289891708928'],,2022-11-19T19:29:39.000Z,PN Menang? Okay masalah banjir selangor tak akan pernah selesai ðŸ‘ðŸ» Good luck ðŸ˜œ Masalah air masalah internet connection dekat pedalaman kelantan pun tak settle. Jalan raya lampu jalan hauk hahahahaha ðŸ˜‚ðŸ˜‚ bodoh #PRU15,0.246,0.556,0.198,-0.0818,negative
['1594050277811703808'],,2022-11-19T19:29:36.000Z,"In #GE15, worthy to note
* PAS - Umno faction 1951 
* PKR - Umno faction 1999
* Bersatu - Umno faction 2016",0,0.884,0.116,0.4404,positive
['1594050277149396992'],,2022-11-19T19:29:36.000Z,"Hopefully sabah sarawak join PH, Borneo ? We can do better. Don't let PN handle our precious state. Please don't!  ðŸ«‚
#GE15",0,0.547,0.453,0.92,positive
['1594050266936258561'],,2022-11-19T19:29:34.000Z,"Patut parti yang menang paling byk kerusi diberi keutamaan bentuk kerajaan. Jika gagal, baru serah kepada yg lain. #PRU15 #GE15",0.107,0.649,0.244,0.5574,positive
['1594050265979977729'],,2022-11-19T19:29:34.000Z,waiting for the keputusan rasmi to know isnin cuti ke tak sbb nak masuk asrana : #PRU15 https://t.co/nv8jrC9qPq,0,0.843,0.157,0.3818,positive
['1594050259797573632'],,2022-11-19T19:29:32.000Z,"RT @tharan_snair: If PN ends up forming the government, Malaysia will have ..

1. PM &amp; DPM who both has 29% total attendance to Parliamentâ€¦",0,1,0,0,neutral
['1594050256102395904'],,2022-11-19T19:29:31.000Z,"RT @bernamadotcom: P124: Bandar Tun Razak, Wilayah Persekutuan:  Datin Seri Dr Wan Azizah Wan Ismail menang - (majoriti: 9,817 undi) 

#PRUâ€¦",0,0.84,0.16,0.5859,positive
['1594050253174771716'],,2022-11-19T19:29:31.000Z,"Tahniah GPS!!

#majoritimemilih
#partigps
#PRU15

https://t.co/qfJvSkOfTC",0,0.61,0.39,0.6688,positive
['1594050251467677696'],,2022-11-19T19:29:30.000Z,"RT @501Awani: RASMI: Parlimen P109, Kapar
PN menang dengan majoriti 11,782 undi

#MalaysiaMemilih
#PRU15
#PilihanMalaysia

https://t.co/wEZâ€¦",0,0.723,0.277,0.7579,positive
['1594050237869756416'],,2022-11-19T19:29:27.000Z,"Perkara itu diumumkan sendiri Pengerusinya, @MuhyiddinYassin selepas parti berkenaan berjaya memenangi 'majoriti' kerusi parlimen yang dipertandingkan.

#PRU15 #GE15 #myundi #kerajaan #Parlimen 
 
https://t.co/PvcCQ6BUn1",0,0.746,0.254,0.7579,positive
['1594050237194276864'],,2022-11-19T19:29:27.000Z,"RT @jecfish: Today is the 15th Malaysia General Election. The @malaysiakini dashboard is pretty good! 

âœ… Get 99% Performance score on Deskâ€¦",0,0.783,0.217,0.75,positive
['1594050232329043968'],,2022-11-19T19:29:26.000Z,"RT @fadhilayman: A sad day. 

Ekonomi macam sial.
Shit Leaders.
A brainwashed tiktok generation.

It's an end game for Malaysia.

#PRU15",0.261,0.739,0,-0.7717,negative
['1594050225936642049'],,2022-11-19T19:29:24.000Z,"RT @bernamadotcom: P108: Shah Alam, Selangor: Azli Yusof  menang - (majoriti: 18,095 undi)

#PRU15
#PRU15BERNAMA
#MalaysiaMemilih
#AndaPeneâ€¦",0,0.808,0.192,0.5859,positive
['1594050223323566080'],,2022-11-19T19:29:23.000Z,"Dah boleh nyanyi lagu P Ramlee ni ðŸŽµPukul 3 pagi, tidurlah intan, esok bangun pagi minum kopi satu cawan..ðŸŽµðŸ˜†

#GE15 
#MalaysiaMemilih2022",0,0.824,0.176,0.5994,positive
['1594050217875152896'],,2022-11-19T19:29:22.000Z,goodnight. hoping to see a clearer picture later. (not gonna say tmr morning cuz it's basically 3:30am rn) #PRU15,0,0.865,0.135,0.4215,positive
['1594050214590963713'],,2022-11-19T19:29:21.000Z,"RT @renchung: Am abroad this #GE15. Assisted a few fellow Malaysians get their ballots home, through #VoteMalaysia.

One young mother - asâ€¦",0,1,0,0,neutral
['1594050214523871232'],,2022-11-19T19:29:21.000Z,RT @ChannelNewsAsia: WATCH: Perikatan Nasional's Muhyiddin Yassin rules out working with Pakatan Harapan to form government after Malaysia'â€¦,0,0.857,0.143,0.4588,positive
['1594050208207638530'],,2022-11-19T19:29:20.000Z,RT @YoursKarma4: some people still think like shit... A lot of people still vote for their own religion...they don't care about the downfalâ€¦,0.217,0.696,0.087,-0.5759,negative
['1594050194194460673'],,2022-11-19T19:29:16.000Z,"RT @MYCOVIDCasesBot: Latest GE15 results as of 3:25am (seats)

PH: 76
PN: 73
BN: 29
GPS: 22
GRS: 6
Others: 6

MAIN POINTS: Ustaz Ismi (PN)â€¦",0,1,0,0,neutral
['1594057923373993984'],,2022-11-19T19:59:59.000Z,"RT @PichayadaCNA: JUST IN: @anwaribrahim says PH has obtained the majority in #GE15.

â€œWe managed to get the support of MPs to form the govâ€¦",0,0.899,0.101,0.4019,positive
['1594057917334016003'],,2022-11-19T19:59:58.000Z,"RT @TMReserve: #GE15 (Official) #P117 SEGAMBUT | Kuala Lumpur

HANNAH YEOH (PH): 68,438
PRABAGARAN (PN): 8,754
DANIEL LING SIA CHIN (BN): 8â€¦",0,1,0,0,neutral
['1594057916663099392'],,2022-11-19T19:59:58.000Z,"RT @JunaidiAsmara: Well, Muhyiddin made it clear ""not with PH"". And also the mention of a letter from Istana. More at play it seems. #GE15â€¦",0,0.749,0.251,0.749,positive
['1594057916088057856'],,2022-11-19T19:59:58.000Z,Good Job Selangor &amp; KL  #PRU15 https://t.co/W0qVaG0EfF,0,0.674,0.326,0.4404,positive
['1594057914146168833'],,2022-11-19T19:59:57.000Z,#GE15 #MalaysiaMemilih2022 https://t.co/gWwovO9T6j,0,1,0,0,neutral
['1594057912774987776'],,2022-11-19T19:59:57.000Z,"RT @501Awani: RASMI: Parlimen P117 Segambut
PH menang dengan majoriti 59,684 undi

#MalaysiaMemilih
#PRU15
#PilihanMalaysia

https://t.co/wâ€¦",0,0.723,0.277,0.7579,positive
['1594057910954627077'],,2022-11-19T19:59:56.000Z,"RT @bernamadotcom: ðŸ“Œ#PRU15: PN tidak akan bekerjasama dengan Pakatan Harapan untuk bentuk kerajaan Persekutuan

ðŸ“ŒPN bincang dengan pimpinanâ€¦",0,1,0,0,neutral
['1594057907720491009'],,2022-11-19T19:59:56.000Z,"RT @501Awani: RASMI: Parlimen P116 Wangsa Maju
PH menang dengan majoriti 20,696 undi

#MalaysiaMemilih
#PRU15
#PilihanMalaysia

https://t.câ€¦",0,0.745,0.255,0.7579,positive
['1594057903811747840'],,2022-11-19T19:59:55.000Z,"RT @501Awani: PH telah melepasi angka majoriti mudah 112 dan akan menyediakan dokumen bagi menghadap Istana Negara

https://t.co/zx66GA0UgLâ€¦",0,1,0,0,neutral
['1594057901072863232'],,2022-11-19T19:59:54.000Z,"RT @khairul_hafidz: DSAI dalam kenyataan beliau mengatakan PH telah ada majoriti untuk membentuk kerajaan.

#PRU15",0,1,0,0,neutral
['1594057895812866048'],,2022-11-19T19:59:53.000Z,Korang ni tak habis habis takut PH menang. Selama ko p Penang yg mmg DAP ada ke kau tengok masjid kena roboh? Ha bodoh? #PRU15 #AnwarIbrahim,0,0.885,0.115,0.4567,positive
['1594057880059006976'],{'place_id': '77def60fb9166b95'},2022-11-19T19:59:49.000Z,"Big Losses:

1. TDM
2. KuLi
3. KJ
4. Izzah
5. Faizal Azumu
6. Maszlee 
7. Tengku Zafrul
8. Zuraida 
9. Shahril Hamdan
10. Asyraf Wajdi
11. Rina Harun
12. Khalid Samad
13. Liow Tiong Lai
14. Tengku Adnan
15. Mujahid Rawa hi
16. Reezal Merican
17. Isham Jalil
18. Azmin Ali

#GE15",0.049,0.951,0,-0.4019,negative
['1594057878394245120'],,2022-11-19T19:59:49.000Z,"So, cuti ke tak ni hari Isnin? Soalan penting ðŸ˜†

#GE15",0,0.783,0.217,0.3612,positive
['1594057878062903297'],,2022-11-19T19:59:48.000Z,"RT @khairul_hafidz: Secara kesimpulan:

1. Kejutan gelombang PN di #PRU15

2. BN kalah teruk

3. Banyak calon heavyweight yang kalah

4. Baâ€¦",0.285,0.644,0.071,-0.743,negative
['1594057877475721216'],,2022-11-19T19:59:48.000Z,"RT @kirthanadevaser: Remember, a vote for Perikatan Nasional is a vote for child marriage. Let that sink in. Sekian, terima kasih. ðŸ™ #PRU15",0,1,0,0,neutral
['1594057870701899776'],,2022-11-19T19:59:47.000Z,"P060 Taiping (Perak) #PH telah menang

#PRU15 #GE15

Image: from SPR https://t.co/MlZ6AD9rUN",0,0.748,0.252,0.5719,positive
['1594057868613144576'],,2022-11-19T19:59:46.000Z,Jangan lupa ya claim pembiayaan rumah tanpa faedah nanti dari karajaan #perikatannasional #GE15 https://t.co/lnJmpaivRG,0.13,0.772,0.099,-0.1326,negative
['1594057864926330880'],,2022-11-19T19:59:45.000Z,"@anwaribrahim would need to offer @gpsutamaswak &amp; GRS a TPM post.

A PH + Borneo coalition.

#GE15",0,1,0,0,neutral
['1594057863181533184'],,2022-11-19T19:59:45.000Z,"RT @akudiraf: Dahsyat PH, boleh menang sampai 80 kerusi. Dan kebanyakan kerusi yang mereka menang ini adalah bandar-bandar utama di Malaysiâ€¦",0.104,0.64,0.256,0.6705,positive
['1594057857863127040'],,2022-11-19T19:59:44.000Z,"RT @jsadiq: And finally #GE15 
Anwar - always the bridesmaid, never the bride.

I was trying to explain to someone that the elites, entrencâ€¦",0,1,0,0,neutral
['1594057848689856512'],,2022-11-19T19:59:41.000Z,"Jelas Muhyiddin, pihaknya akan berbincang bersama kepimpinan parti dari Sabah dan Sarawak dalam masa terdekat dan berharap agar ia dapat dimuktamadkan sebelum petang Ahad. 
#AWANInews #PRU15 #MalaysiaMemilih https://t.co/85HpKknqpv",0,0.841,0.159,0.6486,positive
['1594057836123672576'],,2022-11-19T19:59:38.000Z,Gn malaysia.. #GE15 https://t.co/OFuG1yYLBH,0,0.645,0.355,0.296,positive
['1594057835255500800'],,2022-11-19T19:59:38.000Z,"RASMI: Parlimen P117 Segambut
PH menang dengan majoriti 59,684 undi

#MalaysiaMemilih
#PRU15
#PilihanMalaysia

https://t.co/wEZKQ200Eg https://t.co/lTufe84XWG",0,0.711,0.289,0.7579,positive
['1594057833615855616'],,2022-11-19T19:59:38.000Z,"RT @jsadiq: Looks like #GE15 is just to confirm
* Sheraton Move, without frogs
* Keluarga Malaysia
* Stronger Borneo bloc

ðŸ‡²ðŸ‡¾ - united by aâ€¦",0,0.744,0.256,0.7845,positive
['1594057828116811776'],,2022-11-19T19:59:37.000Z,"RT @solatjgntinggal: Insya'Allah ðŸ˜Š
The new Prime Minister of Malaysia,
Dato' Seri Haji Anwar bin Ibrahim.
#PRU15 #PakatanHarapan",0,0.769,0.231,0.7184,positive
['1594057820676423680'],,2022-11-19T19:59:35.000Z,RT @NST_Online: #NSTlfash Datuk Seri @anwaribrahim claims #PakatanHarapan has a simple majority of 111 seats to form the federal governmentâ€¦,0,1,0,0,neutral
['1594057812220338176'],,2022-11-19T19:59:33.000Z,"RT @501Awani: RASMI: Parlimen P075, Bagan Datuk
BN menang dengan majoriti 348 undi

#MalaysiaMemilih
#PRU15
#PilihanMalaysia

https://t.co/â€¦",0,0.735,0.265,0.7579,positive
['1594057798152691712'],,2022-11-19T19:59:29.000Z,"RT @MalaysiaGazette: #PRU15 Keputusan kerusi Parlimen Melaka 

#MalaysiaMemilih #malaysiagazette #rakyatmemilih https://t.co/nDUeASQh6Y",0,1,0,0,neutral
['1594057797431615494'],,2022-11-19T19:59:29.000Z,"RT @WeirdKayaMY: ðŸŸ¡OFFICIAL, 3:55am: PH Candidate Hannah Yeoh has won the P.117 Segambut parliamentary seat with a resounding majority of 59â€¦",0,0.844,0.156,0.5719,positive
['1594057791274041344'],,2022-11-19T19:59:28.000Z,"RT @Siva_Ruthless: When you guys will realize that its not about hak lagi, we hv a proper law and system to protect the hak! Its about moviâ€¦",0.075,0.745,0.18,0.5245,positive
['1594057790724591616'],,2022-11-19T19:59:28.000Z,"RT @501Awani: RASMI: Parlimen P122 Seputeh
PH menang dengan majoriti 67,187 undi

#MalaysiaMemilih
#PRU15
#PilihanMalaysia

https://t.co/wEâ€¦",0,0.723,0.277,0.7579,positive
['1594057790641016832'],,2022-11-19T19:59:28.000Z,How can Malaysian support PN??? How can Malaysians pick a party which is so incompetent... Seriously I have no idea... Stupidity has a level... #PRU15,0.245,0.535,0.22,-0.2272,negative
['1594057787931127808'],,2022-11-19T19:59:27.000Z,"RT @hmetromy: #PRU15 #portdickson Menteri Besar Negeri Sembilan, Datuk Seri Aminuddin Harun menang di Parlimen Port Dickson yang disandangâ€¦",0,0.829,0.171,0.5719,positive
